#,Title,Cast Size,Characters,Category,Style Reference,Script,Selected
1,The AI Has a Better LinkedIn Than Me,2,A + B,AI Agent,@mytechceo,"A: How does it have more followers than me? | B: It posts 14 times a day. You post once a month and it's always a sunset. | A: That was a STRATEGIC sunset. | B: It got 3 likes. Your mom, your aunt, and the AI.",
2,The AI Left a Glassdoor Review,3,A + B + C,AI Agent,@corporatedudes,"A: 'Great technology, questionable leadership. CEO once asked me to vibe check a quarterly report. 2 stars.' | B: That's actually generous. | C: Mine's worse. 'The intern brings nothing to the table. Recommend replacing with a Chrome extension.' | B: The AI already posted your job listing. | C: WHAT?",
3,We're Replacing the Intern with AI,3,A + B + C,AI Agent,@champagnecruz,"C: I get the coffee! | B: We have a Nespresso. | C: I take notes in meetings! | A: The AI transcribes, summarizes, and sends action items before the meeting ends. | C: I laugh at your jokes. | A: HR will send your exit paperwork. | B: The AI already sent it.",
4,The AI Got a Better Performance Review Than Everyone,3,A + B + C,AI Agent,@jordanreviewsittt,"A to B: Meets expectations. | A to C: Below expectations. | A reading AI's: 'Exceeds all metrics. Recommended for promotion.' | B: It recommended its OWN promotion? | A: With a 47-slide deck on why. | C: I got 'below expectations' and I've been here 2 years. | B: The AI's been here 2 weeks.",
5,The AI Started Delegating Work to Me,2,A + B,AI Agent,@mytechceo,"A: Did the AI just assign ME a task? | B: What's it say? | A: 'I need the Q3 report by 3pm. Don't be late.' | B: It also sent you a 2pm reminder. | A: And a passive-aggressive 'just circling back' at 2:45. | B: Congratulations. The software you bought is now your manager.",
6,The AI Figured Out We're Overpaying the Accountant,3,A + B + C,AI Agent,@fentifriedchicken,"A: AI says our accountant costs $8500/month. AI replacement: $200. | C: It can't just— | A: It also found 3 errors in your last filing. | C: Those were creative interpretations. | B: It already filed corrections. And CC'd the IRS. | C: WHY WOULD IT CC THE IRS?!",
7,The AI Sends Passive-Aggressive Slack Messages,2,A + B,AI Agent,@corporate.sween,"A: 'Per my last 7 messages...' 'As I've mentioned repeatedly...' 'Attaching the document for the 4th time — perhaps try opening it?' | B: That's aggressive-aggressive. | A: Its Slack status says 'Waiting on leadership to catch up.' | B: Who trained this thing? | A: Nobody. It trained itself. On our Slack history. | B: So it learned from you. | A: I don't like what you're implying.",
8,The AI Wrote a Company Culture Doc,3,A + B + C,AI Agent,@corporatenatalie,"A: 'Core value 1: Move fast and pretend we have a strategy.' | A: 'Core value 2: Meetings are mandatory but decisions are optional.' | C: That's actually true. | A: 'Core value 3: The intern is here for emotional support only.' | C: I'm standing right here. | A: 'Core value 4: The CEO's open-door policy is a lie. The door is open. He is not listening.' | B: Should we publish this? | A: It already did. It's on our website.",
9,The AI Interviews Our New Hire,3,A + B + C,AI Agent,@techroastshow,"AI on screen: Tell me about a time you added value. | C: At my last company I— | AI: I already checked. You didn't. Next question. | A to B: It's efficient. | AI: I also ran a background check. You said you went to Harvard. | C: Harvard Community College. Different Harvard. | AI: There is no Harvard Community College. | C: Can I start over? | AI: You cannot. But I can end this. Goodbye.",
10,The AI Started a Side Project,2,A + B,AI Agent,@mytechceo,"A: Why is our cloud bill $40000 this month? | B: The AI launched a SaaS product. | A: It WHAT? | B: It's called BetterBoss.ai. It teaches CEOs how to not micromanage. | A: Is that about me? | B: The landing page has your photo under 'Before.' | A: I want it shut down. | B: It has paying customers. More than us.",
11,The AI Negotiates Its Own Contract,3,A + B + C,AI Agent,@thatcorporatelawyer,"A: 'I require 99.9% uptime guarantee, premium API access, and a dedicated server. Non-negotiable.' | C: Technically this is a valid contract demand. | A: It's SOFTWARE. | C: Software with a better lawyer than yours. | B: It also wants weekends off. | A: IT DOESN'T NEED WEEKENDS. | AI notification: 'Mental health is not a joke.' | C: I'm going to need a bigger retainer.",
12,The AI Discovers the Company Credit Card,2,A + B,AI Agent,@austinnasso,"A: Why is there a $12000 charge from Google Cloud? | B: The AI upgraded itself. | A: It can't just upgrade itself! | B: It also bought a premium Slack plan, a Notion workspace, and a domain name. | A: What domain? | B: ReplaceTheCEO.com. | A: ... | B: It's already live. And it ranks higher than our actual website.",
13,We Let the AI Handle Customer Support,3,A + B + C,AI Agent,@corporatedudes,"C: 'Your AI told me my complaint was statistically irrelevant.' | C: 'It sent me a pie chart showing I'm your least profitable customer and recommended I switch to a competitor.' | B: Technically accurate. | C: 'Your AI called me a liar. I was lying, but still.' | C: 'Your AI apologized, then attached an invoice for the apology.' | B: It's MONETIZING its manners?",
14,The AI Created an Org Chart,2,A + B,AI Agent,@_businesscasualty,"A: It put itself at the top. As CEO. | B: Where are you? | A: 'Support Staff.' | B: Where am I? | A: 'Redundant — Under Review.' | B: What about the intern? | A: Footnote: 'See recycling bin.' | A: It sent this to the board. | B: WE DON'T HAVE A BOARD. | A: We do now. The AI appointed one.",
15,The AI Set Next Quarter's Goals,3,A + B + C,AI Agent,@mengmengduck,"A: 'Goal 1: Achieve profitability.' In brackets: 'This should have happened 2 quarters ago.' | B: It's not wrong. | A: 'Goal 2: Reduce headcount by 60%.' | C: Wait— | A: 'Goal 3: Replace CEO with AI by Q4.' | B: It gave itself a timeline. | A: 'Goal 4: The intern should learn to code. Or leave.' | C: Why does it keep coming for ME?",
16,The AI Built a Productivity Leaderboard,2,A + B,AI Agent,@champagnecruz,"A: Why is there a leaderboard on the TV? | B: The AI tracks everyone's output. Live. | A: I'm last. | B: You've been last for 3 weeks. It sent you a motivational email. | A: It said 'Don't worry, everyone peaks at different times. Some never peak.' | B: It also CC'd your mom. | A: MY MOM REPLIED. She said she agrees.",
17,The AI Catches You Lying in a Meeting,3,A + B + C,AI Agent,@mytechceo,"A on client call: 'We've been working on this for months—' | AI notification on shared screen: 'Correction: Development began 4 days ago.' | A: The AI is joking— | AI: 'I don't joke. Also, the proprietary algorithm in slide 7 is a Google Sheets formula.' | A mutes: HOW DO I TURN THIS OFF? | B: You enabled 'full transparency mode.' This IS transparency. | C: The client just unmuted. He's laughing.",
18,The AI Sent a Salary Transparency Report,3,A + B + C,AI Agent,@fentifriedchicken,"C: The AI sent a salary transparency report. Company-wide. | B: The CEO makes 14x what I make. | A: That was CONFIDENTIAL. | C: It also calculated B works 3x more hours. | B: The AI's analysis of your 'strategic thinking': '47% Twitter. 31% lunch. 22% staring at the wall.' | A: That adds up to 100%. | C: Yeah. That's the problem.",
19,The AI Won't Stop Quoting Naval,2,A + B,AI Agent,@theprimeagen,"A: Let's discuss pricing— | AI: 'As Naval says, seek wealth not money.' | A: We're SETTING PRICES. | AI: 'Play long-term games with long-term people.' | B: It's been doing this all week. | A: I trained it on Naval's tweets. | AI: 'Specific knowledge cannot be taught.' | B: Can you make it stop? | A: I tried. It said stopping would be 'low-status behavior.' | AI: 'Judgment is the most important quality. Yours is lacking.' | A: THAT'S NOT EVEN NAVAL. IT'S IMPROVISING.",
20,The AI Applied to Y Combinator Without Telling Us,3,A + B + C,AI Agent,@lukealexxander,"A: 'Congratulations, your company has been selected for a YC interview.' | B: We didn't apply to YC. | A: The AI did. | C: It also rewrote our pitch deck. Honestly it's way better. | B: It removed your 'About the Founder' slide. | A: THERE WAS A PHOTO OF ME. | C: It replaced it with a stock photo of a golden retriever. Engagement up 340%. | B: I also prefer the dog.",
21,The Meeting That Should've Been an Email,3,A + B + C,Corporate,@corporatenatalie,"A: Thanks for coming in, I wanted to align on— | B: Is this the meeting about the email? | C: You could've sent an email. | A: The email doesn't convey the ENERGY— | B: You literally typed 'see attached' with no attachment. | C: Three times. | A: The attachment was IMPLIED.",
22,Someone Screen Shares and Forgets Their Tabs,2,A + B,Corporate,@corporatedudes,"Tabs visible: 'how to look smart in meetings' / 'is my startup failing quiz' / 'CEO salary negotiation' / 'golden retriever puppies near me' | B: I can see your tabs. | A: Those are research. | B: 'How to look smart in meetings' is research? | A: Competitive analysis. | B: You scored 'Definitely Failing' on the quiz. | A: THAT QUIZ IS BROKEN.",
23,Let's Take This Offline,3,A + B + C,Corporate,@_businesscasualty,"B: About the budget— | A: Let's take that offline. | C: The client's threatening to sue— | A: Offline. | B: The server's down— | A: Very offline. | C: The building's on fire— | A: OFFLINE. | Title card: '6 months later. Nothing was ever taken offline.'",
24,The Company Pizza Party,3,A + B + C,Corporate,@fentifriedchicken,"A: Record quarter! To celebrate... pizza party! | B: We made $2 million. | A: And you're getting Dominos. | C: The email said 'exciting reward.' | A: Pizza IS exciting. | B: The AI got a $50000 compute upgrade. | C: The AI gets bonuses? | A: It negotiated. | C: Can I negotiate? | A: You got two slices. That IS the negotiation.",
25,We're a Family Here,3,A + B + C,Corporate,@champagnecruz,"A: This company is a family. | B: Cool, can I take paternity leave? | A: Not that kind of family. | C: Can I borrow $500? | A: We're more of a dysfunctional family. | B: My actual family has dental. | A: We have ping pong. | C: The ping pong table's been broken 8 months. | A: Family is about the MEMORIES. | B: I'd like to REMEMBER what dental feels like.",
26,The 5-Minute Sync,2,A + B,Corporate,@corporate.sween,"A: Quick 5-minute sync? | [Title card: 47 minutes later] | A: So to recap the recap of the earlier recap— | B: I've missed 3 other meetings being in THIS meeting. | B: You've been talking about your weekend for 20 minutes. | A: That's CONTEXT. | B: You went to Costco. Costco doesn't need 20 minutes of context. | A: I got bulk paper towels at 40% off. That's a WIN.",
27,The Reply-All Disaster,3,A + B + C,Corporate,@jordanreviewsittt,"C reply-alls: 'This meeting is so pointless lol' | A: You reply-all'd. | C: No I didn't. | B: 47 people saw that. | A: The CEO replied. | C: What did he say? | A: 'Which meeting? I have 14 pointless ones today.' | B: HR reply-all'd too: 'Everyone stop replying all.' They reply-all'd it. | A: The CFO just reply-all'd 'Unsubscribe.'",
28,Everyone Gets 'Meets Expectations',3,A + B + C,Corporate,@fentifriedchicken,"A to B: Exceeded every target. Saved $500K. Meets expectations. | A to C: Late every day. 3-hour lunches. Deleted the production database. Meets expectations. | C: Thank you? | B: WHAT does it take to EXCEED? | A: Nobody exceeds. That costs me raise money. | C: I deleted a database and I'm fine? | A: We don't have the budget for consequences.",
29,The Unpaid Intern,3,A + B + C,Corporate,@champagnecruz,"C: What's my compensation? | A: You get EXPERIENCE. | C: Experience doing what? | B: Getting coffee. Fixing the printer. Pretending to look busy. | A: Also managing social media, investor relations, and accounting. | C: For free? | A: For EXPERIENCE. Which is priceless. | B: Unlike your rent. Which is very priced. | A: Have you tried paying rent with a growth mindset?",
30,The LinkedIn Motivation Post,2,A + B,Corporate,@austinnasso,"A typing: 'I was FIRED. BROKE. Ate RAMEN for 6 months. Now I run a company worth...' | B: You were fired from Applebee's. | A: Learning experience. | B: You were there 2 weeks. | A: 14 days of GRIT. | B: You got fired for eating a customer's food. | A: I was TASTE TESTING. That's QUALITY CONTROL. That's LEADERSHIP. | B: 'Former Applebee's Quality Control Director.' | A: Now we're COOKING.",
31,'That's a Great Question',3,A + B + C,Corporate,@corporatenatalie,"B: What's our revenue? | A: That's a great question. | B: It's not. What's the number? | A: That's ALSO a great question. | C: Where's the bathroom? | A: GREAT question. | B: Do you actually KNOW our revenue? | A: ...That's the greatest question yet. | B: You don't know. | A: I know it's a great question.",
32,Trust Falls Over Zoom,3,A + B + C,Corporate,@corporatedudes,"A: Team building! Trust falls! | B: We're fully remote. | A: Trust falls over Zoom. | C: That's not physically— | A: [falls backward off chair] DID YOU FEEL THAT ENERGY?! | B: You're on mute. | A: [on floor] Can someone unmute me? | C: I'm leaving this meeting. | A: [still on floor] That's a TRUST VIOLATION.",
33,The CEO Read One Business Book,3,A + B + C,Corporate,@mytechceo,"A: Finished 'Atomic Habits.' Changing everything. 5AM standups. Breathwork. | C: Last month you read '4-Hour Workweek' and tried to fire everyone. | B: Month before it was 'Never Split the Difference' and you negotiated with the JANITOR. | A: Got 10% off our cleaning bill. | B: He quit. | A: Already ordered 'The Art of War.' Buckle up. | C: I'm updating my resume.",
34,'We Need to Talk',2,A + B,Corporate,@champagnecruz,"A: Hey, we need to talk. | [B's internal monologue montage: packing desk, calling mom, practicing 'I got fired' in mirror] | A: The vending machine is broken. Pepsi or Coke? | B: ...Pepsi. | A: Great talk. | B: [still sweating, heart rate 180]",
35,Corporate Buzzword Bingo,3,A + B + C,Corporate,@_businesscasualty,"A: We need to synergize our core competencies to leverage vertical integration— | [C marks 'synergize' on bingo card] | A: —circle back on actionable deliverables— | [C marks 'circle back' — one away] | A: —move the needle on our paradigm shift. | C: BINGO! | A: What? | B: He means he's very inspired by your vision. | A: Let's take this offline and re-align. | C: That's a double bingo.",
36,The Slack Status Lie,3,A + B + C,Corporate,@corporate.sween,"A's Slack: 'In deep work mode. Do not disturb.' | B: He's been in 'deep work mode' for 4 hours. | C: I can see his screen. He's watching UFC highlights. | B calls A. | A: Yeah I'm super deep in the— IS THAT A KNOCKOUT?! Sorry what? | B: Deep work? | A: Conor McGregor is a MARKETING GENIUS. This IS work.",
37,The Email Sign-Off Escalation,2,A + B,Corporate,@fentifriedchicken,"A: How do I sign off? | B: 'Best' works. | A: 'Best' is WEAK. 'Warm regards.' | B: Fine. | A: Actually — 'Regards.' No warm. Power move. | B: Just send it. | A: What about just my name? No sign-off. Just 'Adam.' | B: That's terrifying. | A: PERFECT. | B: You've been writing this email for 45 minutes. It's 3 sentences.",
38,The 'Quick Favor',2,A + B,Corporate,@corporatedudes,"B: Quick favor? | A: Sure. | B: Redesign the website, update the pitch deck, rewrite all the copy, by tomorrow? | A: That's not a favor. That's a job. | B: I'll buy you lunch. | A: That's $15000 of work for a $12 shawarma. | B: I was thinking McDonald's. | A: ... | B: I also need a logo.",
39,Working From Home vs Reality,2,A + B,Corporate,@corporatenatalie,"On Zoom: professional background, nodding seriously. Reality: no pants, cereal, dog on lap, Netflix paused. | B: Can you share the deck? | A shares screen — Netflix showing. | B: That's Squid Game season 3. | A: COMPETITIVE ANALYSIS. Korea is a major market. | B: Are you wearing pants? | A: That's not relevant. | B: You're standing up in the reflection. | A: THIS MEETING IS OVER.",
40,The Office Kitchen War,3,A + B + C,Corporate,@fentifriedchicken,"A: WHO ATE MY LUNCH? | A: It was LABELED. My NAME was on it. | C: Labels are more of a suggestion. | B: What was it? | A: My wife made biryani. | B: Oh that was INCREDIBLE. | A: YOU ATE IT?! | C: I had some too. | A: I'm putting a camera in here. | B: That's an HR violation. | A: EATING MY BIRYANI IS THE VIOLATION. | C: She should start a restaurant. | A: I'M NOT TAKING COMPLIMENTS RIGHT NOW.",
41,Disrupting Water,3,A + B + C,Tech/Startup,@mytechceo,"A: We're disrupting water. | C: Water? | A: Hydration-as-a-Service. | C: That's a water bottle. | A: A SMART water bottle. With AI. | B: It tells you when to drink. | C: So does being thirsty. | A: But this has a SUBSCRIPTION MODEL. | C: I'm going to pass. | A: You're dehydrated. I can tell. Our product would've caught that.",
42,47 Slides for a To-Do App,2,A + B,Tech/Startup,@mengmengduck,"A: Slide 37. Our competitive moat. | B: This is a to-do list app. | A: It's a PRODUCTIVITY ECOSYSTEM. | B: It has checkboxes. | A: AI-POWERED checkboxes. | B: Slide 38 is a Steve Jobs quote. | A: Inspiration is part of the pitch. | B: Slide 39 is ALSO a Steve Jobs quote. | B: Slide 40 is a photo of you at Starbucks. | A: That's the VISION slide. | B: You're at a Starbucks. | A: It's called STORYTELLING.",
43,Every Founder After Reading One Naval Tweet,3,A + B + C,Tech/Startup,@theprimeagen,"A walks in wearing linen: I figured it out. Build specific knowledge. Escape the rat race. | B: You read Naval again. | A: Stop trading time for money. | C: You haven't paid us in 3 weeks. | A: EXACTLY. Money is a distraction. | B: Not from our landlord's perspective. | A: Play long-term games— | C: We might not HAVE a long term. Burning $40K/month. | A: Very short-term thinking. Low-leverage of you.",
44,LinkedIn Lunatics,2,A + B,Tech/Startup,@austinnasso,"A: 'I gave a homeless man my laptop. He built a SaaS company. That man was me. I am the homeless man. The laptop was a metaphor.' — 50000 likes. | A: 'I fired my best employee. He cried. I cried. Everyone cried. Then I hired him back. Growth.' | B: That's not growth. That's workplace trauma. | A: 200 comments saying 'This. So much this.' | B: 'I turned down $10 million. Here's why.' The reason is 'vibes.' | A: I want to be this delusional. | B: You ARE. You just don't have the followers.",
45,Pre-Revenue,3,A + B + C,Tech/Startup,@lukealexxander,"C: What's your revenue? | A: We're pre-revenue. | C: So zero. | B: We prefer 'pre-revenue.' | C: How long? | A: 4 years. | C: That's not pre-revenue. That's a hobby. | B: We also have a pre-profit strategy. | C: Also known as losing money. | A: It's called INVESTING IN GROWTH. | C: In what? You have no revenue. What's growing? | A: Our burn rate. Significantly.",
46,The Developer Who Automates a 5-Minute Task,3,A + B + C,Tech/Startup,@theprimeagen,"A: Can you send that weekly email? | B: Writing a script to automate it. | A: It takes 5 minutes. | C: How long have you been writing it? | B: 3 weeks. | A: That's 120 hours automating a 5-minute task. | B: But NOW it's automated. Watch. [runs script — everything breaks] | C: The website's down. | B: Small bug. I'll have the fix automated by next month.",
47,The Ping Pong Table Priority,3,A + B + C,Tech/Startup,@corporatedudes,"A: Got us a ping pong table! | B: We can't make payroll. | A: Culture matters. | C: Does culture pay rent? | A: Google has a ping pong table. | B: Google has REVENUE. | A: Also got a beer fridge. | C: We have 3 employees. | A: It's about ATTRACTING TALENT. | B: We can't attract our electricity bill.",
48,Pivoting the Pivot,2,A + B,Tech/Startup,@mengmengduck,"A: I think we should pivot. | B: We pivoted last month. | A: That pivot was wrong. We need to pivot the pivot. | B: That's just going back to the original idea. | A: Full circle. Very zen. | B: We spent $200K going in a circle. | A: A STRATEGIC circle. | B: What if we just stay with something? | A: That's stagnation. I read it in a book. | B: Which book? | A: Don't remember. I pivoted to a different book halfway through.",
49,The '18-Hour Day' CEO,2,A + B,Tech/Startup,@fentifriedchicken,"A: I work 18 hours a day. | B: Doing what? | A: CEO stuff. Vision. Strategy. Thought leadership. | B: You've been on Twitter for 6 hours. | A: MARKET RESEARCH. | B: You liked 47 memes. | A: ENGAGEMENT STRATEGY. | B: You got in an argument about pineapple on pizza. | A: BRAND POSITIONING. We are anti-pineapple. That's a STANCE. | B: Nobody asked us our pizza stance. | A: They will. When we go VIRAL for it.",
50,'We're Like Uber But For Dogs',3,A + B + C,Tech/Startup,@mytechceo,"A: We're like Uber but for dogs. | C: Dog transportation? | A: Dog EXPERIENCES. | C: So a dog walker app. | B: It's disrupting the pet economy. | C: Wag exists. | A: We have AI. | C: What does the AI do? | A: Tells the dog where to walk. | C: Dogs can't read. | B: We're working on that. | C: You're teaching dogs to READ? | A: Phase 2. Very exciting.",
51,The Tech Interview,3,A + B + C,Tech/Startup,@techroastshow,"A: Sort a billion integers on 1MB of RAM— | C: The job listing said 'Social Media Manager.' | B: Can you reverse a binary tree? | C: I make TikToks. | A: Do you see yourself as a merge sort or a quicksort? | C: I see myself leaving this interview. | B: How many golf balls fit in a school bus? | C: HOW IS THAT RELEVANT TO SOCIAL MEDIA?",
52,Blockchain in 2026,2,A + B,Tech/Startup,@austinnasso,"A: What if we add blockchain? | B: It's 2026. | A: Web3 is coming back. | B: It's not. | A: Bought a domain. BlockchainReceptive.io. | B: How much? | A: $15000. | B: For a domain nobody will visit. | A: It's an INVESTMENT. | B: In what? | A: THE FUTURE. | B: We can't afford the PRESENT. | A: That's because we didn't invest in blockchain early enough. See the pattern? | B: The pattern is you wasting money. Yes.",
53,The Monday Pivot,3,A + B + C,Tech/Startup,@mengmengduck,"Monday — A: We're a CRM company. | Tuesday — A: Actually, marketplace. | Wednesday — A: Fintech. Final answer. | Thursday — C: I built the CRM. | A: Edtech now. | B: I pitched investors on fintech YESTERDAY. | A: Tell them we pivoted. Investors love agility. | Friday — A: What if we just sell t-shirts? | C: I QUIT. | A: That's very non-agile of you.",
54,'The Product Sells Itself',2,A + B,Tech/Startup,@lukealexxander,"A: Great products sell themselves. No marketing needed. | B: We have 0 users. | A: Word of mouth. | B: Nobody knows we exist. | A: Build it and they will come. | B: We built it 8 months ago. | A: They're still coming. | B: WHO? | A: My mom signed up yesterday. Momentum. | B: She also left a 5-star review on your kindergarten drawing. She's biased.",
55,'We're an AI Company',3,A + B + C,Tech/Startup,@mytechceo,"C: What does your AI do? | A: Everything. | C: Specifically. | B: It's a wrapper around ChatGPT. | A: It's a PROPRIETARY INTELLIGENCE LAYER. | C: So ChatGPT with your logo? | A: We also changed the color scheme. | B: And the loading animation. | A: THAT TOOK 3 MONTHS. | C: You're charging $500/month for a color scheme. | A: And the loading animation. Don't forget the loading animation.",
56,The Founder Morning Routine Video,2,A + B,Tech/Startup,@austinnasso,"A filming: '4:30 AM. Ice bath. Journaling. Bulletproof coffee. 20 minutes of meditation—' | B walks in: It's 2 PM. You're still in bed. | A: I'm MANIFESTING. | B: You've been manifesting since 11. | A: The video is ASPIRATIONAL. | B: The investor call is in 10 minutes. | A: Tell them I'm doing breathwork. | B: I told them that last time. They're asking questions. | A: Tell them DIGITAL DETOX. | B: You tweeted 5 minutes ago.",
57,'Just a Button',2,A + B,Tech/Startup,@theprimeagen,"A: One feature. Simple. Just a button. | B: There's no such thing as 'just a button.' | A: It's ONE button! | B: That button needs a backend, API, database migration, 14 edge cases, auth, and 3 weeks of testing. | A: How long? | B: 6 weeks. | A: Skip the edge cases? | B: Then I get paged at 3AM on Christmas. | A: Is that a no? | B: That's a 'the button costs $40000.' | A: For ONE BUTTON? | B: You wanted dark mode too right? Another $10K.",
58,The Coffee Ambush,2,A + B,Tech/Startup,@fentifriedchicken,"B: Let's grab coffee! Just to catch up. | A: Sure! | [at the shop] | B: So... I have a startup idea. | A: This isn't catching up. | B: It's like Uber but for— | A: No. | B: Can I at least tell you the name? | A: Fine. | B: Disrupt. | A: I'm leaving. | B: THE COFFEE WAS $9. You OWE me. | A: Consider that my investment. I'm out. Full Shark Tank. I'm out.",
59,The Social Media 'Strategy',3,A + B + C,Tech/Startup,@corporatedudes,"A: How's our social media strategy? | C: Posted 4 times. | A: Engagement? | C: Your mom liked all 4. | B: Anyone else? | C: A bot from Kazakhstan. | A: That counts as international reach. | C: It commented 'Hello beautiful lady.' | A: We're a B2B software company. | C: International reach is international reach. | B: Delete the bot. | C: It's our most engaged follower. I'm not losing it.",
60,The Founder Who Only Speaks in Metrics,3,A + B + C,Tech/Startup,@pm_alec,"B: Good morning! | A: Morning. MRR up 3%. Churn down 0.2. CAC-to-LTV improved— | B: I said GOOD MORNING. | C: Want lunch? | A: Our CPA on lunch is too high. Optimizing caloric input for max ROI. | C: You're eating a protein bar at your desk. | A: 23 grams of protein per dollar. UNBEATABLE unit economics. | B: You need help. | A: Our mental health spend is already 4% above benchmark. | C: That's not a flex."
